x,calculate(x)
-5.000000,-2331901334101163500000000.000000
-4.990000,-2108473075633999500000000.000000
-4.980000,-1908044679401488200000000.000000
-4.970000,3.666842
-4.960000,3.832065
-4.950000,4.010476
-4.940000,4.203813
-4.930000,4.414137
-4.920000,4.643903
-4.910000,4.896064
-4.900000,5.174204
-4.890000,5.482712
-4.880000,5.826216
-4.870000,6.213136
-4.860000,6.651338
-4.850000,7.152003
-4.840000,7.729817
-4.830000,8.404462
-4.820000,9.202933
-4.810000,10.163289
-4.800000,11.340964
-4.790000,12.819963
-4.780000,14.733987
-4.770000,17.309568
-4.760000,20.963553
-4.750000,26.556101
-4.740000,36.193449
-4.730000,56.765531
-4.720000,131.368901
-4.710000,-418.722476
-4.700000,-80.711671
-4.690000,-44.647745
-4.680000,-30.848461
-4.670000,-23.556150
-4.660000,-19.044606
-4.650000,-15.976669
-4.640000,-13.754059
-4.630000,-12.068968
-4.620000,-10.746852
-4.610000,-9.681357
-4.600000,-8.803982
-4.590000,-8.068613
-4.580000,-7.443069
-4.570000,-6.904209
-4.560000,-6.434968
-4.550000,-6.022482
-4.540000,-5.656873
-4.530000,-5.330428
-4.520000,-5.037040
-4.510000,-4.771807
-4.500000,-4.530751
-4.490000,-4.310608
-4.480000,-4.108678
-4.470000,-3.922705
-4.460000,-3.750790
-4.450000,-3.591325
-4.440000,-3.442937
-4.430000,-3.304447
-4.420000,-3.174840
-4.410000,-3.053231
-4.400000,-2.938852
-4.390000,-2.831027
-4.380000,-2.729165
-4.370000,-2.632740
-4.360000,-2.541262
-4.350000,-2.454374
-4.340000,-2.371677
-4.330000,-2.292840
-4.320000,-2.217567
-4.310000,-2.145590
-4.300000,-2.076669
-4.290000,-2.010584
-4.280000,-1.947138
-4.270000,-1.886148
-4.260000,-1.827452
-4.250000,-1.770899
-4.240000,-1.716350
-4.230000,-1.663680
-4.220000,-1.612773
-4.210000,-1.563521
-4.200000,-1.515825
-4.190000,-1.469596
-4.180000,-1.424748
-4.170000,-1.381184
-4.160000,-1.338872
-4.150000,-1.297723
-4.140000,-1.257675
-4.130000,-1.218669
-4.120000,-1.180650
-4.110000,-1.143569
-4.100000,-1.107376
-4.090000,-1.072028
-4.080000,-1.037483
-4.070000,-1.003700
-4.060000,-0.970644
-4.050000,-0.938280
-4.040000,-0.906574
-4.030000,-0.875497
-4.020000,-0.845018
-4.010000,-0.815111
-4.000000,-0.785750
-3.990000,-0.756909
-3.980000,-0.728566
-3.970000,-0.700698
-3.960000,-0.673285
-3.950000,-0.646307
-3.940000,-0.619745
-3.930000,-0.593580
-3.920000,-0.567796
-3.910000,-0.542377
-3.900000,-0.517306
-3.890000,-0.492570
-3.880000,-0.468154
-3.870000,-0.444044
-3.860000,-0.420228
-3.850000,-0.396693
-3.840000,-0.373427
-3.830000,-0.350419
-3.820000,-0.327658
-3.810000,-0.305134
-3.800000,-0.282836
-3.790000,-0.260755
-3.780000,-0.238882
-3.770000,-0.217207
-3.760000,-0.195722
-3.750000,-0.174419
-3.740000,-0.153290
-3.730000,-0.132327
-3.720000,-0.111522
-3.710000,-0.090868
-3.700000,-0.070359
-3.690000,-0.049987
-3.680000,-0.029746
-3.670000,-0.009630
-3.660000,0.010368
-3.650000,0.030254
-3.640000,0.050033
-3.630000,0.069711
-3.620000,0.089294
-3.610000,0.108787
-3.600000,0.128195
-3.590000,0.147523
-3.580000,0.166777
-3.570000,0.185961
-3.560000,0.205080
-3.550000,0.224139
-3.540000,0.243142
-3.530000,0.262093
-3.520000,0.280998
-3.510000,0.299860
-3.500000,0.318684
-3.490000,0.337474
-3.480000,0.356234
-3.470000,0.374959
-3.460000,0.393671
-3.450000,0.412366
-3.440000,0.431046
-3.430000,0.449716
-3.420000,0.468380
-3.410000,0.487040
-3.400000,0.505702
-3.390000,0.524369
-3.380000,0.543044
-3.370000,0.561731
-3.360000,0.580434
-3.350000,0.599156
-3.340000,0.617902
-3.330000,0.636673
-3.320000,0.655475
-3.310000,0.674311
-3.300000,0.693184
-3.290000,0.712098
-3.280000,0.731056
-3.270000,0.750063
-3.260000,0.769121
-3.250000,0.788234
-3.240000,0.807407
-3.230000,0.826642
-3.220000,0.845943
-3.210000,0.865314
-3.200000,0.884758
-3.190000,0.904280
-3.180000,0.923884
-3.170000,0.943572
-3.160000,0.963349
-3.150000,0.983219
-3.140000,1.003185
-3.130000,1.023252
-3.120000,1.043424
-3.110000,1.063704
-3.100000,1.084098
-3.090000,1.104608
-3.080000,1.125240
-3.070000,1.145998
-3.060000,1.166883
-3.050000,1.187905
-3.040000,1.209067
-3.030000,1.230373
-3.020000,1.251826
-3.010000,1.273434
-3.000000,1.295199
-2.990000,1.317128
-2.980000,1.339226
-2.970000,1.361497
-2.960000,1.383946
-2.950000,1.406581
-2.940000,1.429405
-2.930000,1.452426
-2.920000,1.475647
-2.910000,1.499077
-2.900000,1.522720
-2.890000,1.546583
-2.880000,1.570673
-2.870000,1.594996
-2.860000,1.619559
-2.850000,1.644368
-2.840000,1.669432
-2.830000,1.694758
-2.820000,1.720352
-2.810000,1.746223
-2.800000,1.772380
-2.790000,1.798837
-2.780000,1.825588
-2.770000,1.852649
-2.760000,1.880029
-2.750000,1.907739
-2.740000,1.935787
-2.730000,1.964183
-2.720000,1.992938
-2.710000,2.022062
-2.700000,2.051566
-2.690000,2.081462
-2.680000,2.111761
-2.670000,2.142475
-2.660000,2.173617
-2.650000,2.205199
-2.640000,2.237236
-2.630000,2.269740
-2.620000,2.302727
-2.610000,2.336211
-2.600000,2.370209
-2.590000,2.404735
-2.580000,2.439807
-2.570000,2.475442
-2.560000,2.511657
-2.550000,2.548473
-2.540000,2.585908
-2.530000,2.623983
-2.520000,2.662719
-2.510000,2.702138
-2.500000,2.742262
-2.490000,2.783116
-2.480000,2.824725
-2.470000,2.867119
-2.460000,2.910316
-2.450000,2.954350
-2.440000,2.999251
-2.430000,3.045048
-2.420000,3.091776
-2.410000,3.139468
-2.400000,3.188159
-2.390000,3.237888
-2.380000,3.288693
-2.370000,3.340616
-2.360000,3.393700
-2.350000,3.447991
-2.340000,3.503536
-2.330000,3.560386
-2.320000,3.618593
-2.310000,3.678214
-2.300000,3.739308
-2.290000,3.801937
-2.280000,3.866166
-2.270000,3.932066
-2.260000,3.999709
-2.250000,4.069173
-2.240000,4.140541
-2.230000,4.213899
-2.220000,4.289342
-2.210000,4.366967
-2.200000,4.446879
-2.190000,4.529190
-2.180000,4.614018
-2.170000,4.701490
-2.160000,4.791742
-2.150000,4.884919
-2.140000,4.981175
-2.130000,5.080675
-2.120000,5.183588
-2.110000,5.290127
-2.100000,5.400485
-2.090000,5.514885
-2.080000,5.633564
-2.070000,5.756782
-2.060000,5.884816
-2.050000,6.017969
-2.040000,6.156570
-2.030000,6.300974
-2.020000,6.451570
-2.010000,6.608781
-2.000000,6.773072
-1.990000,6.944948
-1.980000,7.124960
-1.970000,7.313735
-1.960000,7.511940
-1.950000,7.720324
-1.940000,7.939712
-1.930000,8.171026
-1.920000,8.415290
-1.910000,8.673649
-1.900000,8.947391
-1.890000,9.237960
-1.880000,9.546990
-1.870000,9.876333
-1.860000,10.228096
-1.850000,10.604690
-1.840000,11.008882
-1.830000,11.443866
-1.820000,11.913351
-1.810000,12.421664
-1.800000,12.973888
-1.790000,13.576033
-1.780000,14.235258
-1.770000,14.960160
-1.760000,15.761154
-1.750000,16.650979
-1.740000,17.645386
-1.730000,18.764081
-1.720000,20.032056
-1.710000,21.481484
-1.700000,23.154496
