x,ln(x)
-0.500000,NaN
-0.450000,NaN
-0.400000,NaN
-0.350000,NaN
-0.300000,NaN
-0.250000,NaN
-0.200000,NaN
-0.150000,NaN
-0.100000,NaN
-0.050000,NaN
-0.000000,NaN
0.050000,-2.994084
0.100000,-2.301796
0.150000,-1.896555
0.200000,-1.609041
0.250000,-1.386004
0.300000,-1.203702
0.350000,-1.049657
0.400000,-0.916163
0.450000,-0.798377
0.500000,-0.692967
0.550000,-0.597695
0.600000,-0.510698
0.650000,-0.430650
0.700000,-0.356632
0.750000,-0.287630
0.800000,-0.223067
0.850000,-0.162502
0.900000,-0.105333
0.950000,-0.051250
1.000000,-0.000000
1.050000,0.048753
1.100000,0.095292
1.150000,0.139681
1.200000,0.182292
1.250000,0.223067
1.300000,0.262333
1.350000,0.300039
1.400000,0.336352
1.450000,0.371509
1.500000,0.405373
1.550000,0.438209
1.600000,0.469930
1.650000,0.500663
1.700000,0.530568
1.750000,0.559527
1.800000,0.587661
1.850000,0.615113
1.900000,0.641754
1.950000,0.667694
2.000000,0.692967
2.050000,0.717730
2.100000,0.741794
2.150000,0.765284
2.200000,0.788340
2.250000,0.810781
2.300000,0.832723
2.350000,0.854292
2.400000,0.875316
2.450000,0.895900
2.500000,0.916163
2.550000,0.935937
2.600000,0.955323
2.650000,0.974333
2.700000,0.993093
2.750000,1.011412
2.800000,1.029396
2.850000,1.047158
2.900000,1.064521
2.950000,1.081584
3.000000,1.098355
3.050000,1.114952
3.100000,1.131183
3.150000,1.147150
3.200000,1.162962
3.250000,1.178438
3.300000,1.193674
3.350000,1.208677
3.400000,1.223560
3.450000,1.238130
3.500000,1.252486
3.550000,1.266636
3.600000,1.280693
3.650000,1.294456
3.700000,1.308029
3.750000,1.321518
3.800000,1.334735
3.850000,1.347777
3.900000,1.360647
3.950000,1.373454
4.000000,1.386004
4.050000,1.398396
4.100000,1.410633
4.150000,1.422824
4.200000,1.434771
4.250000,1.446575
4.300000,1.458238
4.350000,1.469870
4.400000,1.481269
4.450000,1.492538
4.500000,1.503778
4.550000,1.514800
4.600000,1.525700
4.650000,1.536479
4.700000,1.547243
4.750000,1.557797
4.800000,1.568239
4.850000,1.578570
4.900000,1.588896
4.950000,1.599020
5.000000,1.609041
5.050000,1.618961
5.100000,1.628882
5.150000,1.638611
5.200000,1.648243
5.250000,1.657782
5.300000,1.667330
5.350000,1.676692
5.400000,1.685966
5.450000,1.695152
5.500000,1.704354
5.550000,1.713376
5.600000,1.722316
5.650000,1.731174
5.700000,1.740055
5.750000,1.748762
5.800000,1.757391
5.850000,1.765944
5.900000,1.774525
5.950000,1.782937
6.000000,1.791277
6.050000,1.799545
6.100000,1.807846
6.150000,1.815982
6.200000,1.824051
6.250000,1.832054
6.300000,1.840092
6.350000,1.847970
6.400000,1.855785
6.450000,1.863538
6.500000,1.871330
6.550000,1.878966
6.600000,1.886543
6.650000,1.894061
6.700000,1.901522
6.750000,1.909030
6.800000,1.916383
6.850000,1.923680
6.900000,1.930923
6.950000,1.938216
7.000000,1.945357
7.050000,1.952446
7.100000,1.959484
7.150000,1.966574
7.200000,1.973516
7.250000,1.980408
7.300000,1.987252
7.350000,1.994150
7.400000,2.000903
7.450000,2.007609
7.500000,2.014270
7.550000,2.020985
7.600000,2.027560
7.650000,2.034090
7.700000,2.040576
7.750000,2.047020
7.800000,2.053524
7.850000,2.059887
7.900000,2.066208
7.950000,2.072489
8.000000,2.078831
8.050000,2.085035
8.100000,2.091200
8.150000,2.097326
8.200000,2.103514
8.250000,2.109567
8.300000,2.115582
8.350000,2.121560
8.400000,2.127502
8.450000,2.133510
8.500000,2.139383
8.550000,2.145221
8.600000,2.151024
8.650000,2.156894
8.700000,2.162631
8.750000,2.168335
8.800000,2.174005
8.850000,2.179743
8.900000,2.185351
8.950000,2.190927
9.000000,2.196470
9.050000,2.201982
9.100000,2.207566
9.150000,2.213019
9.200000,2.218442
9.250000,2.223834
9.300000,2.229298
9.350000,2.234634
9.400000,2.239941
9.450000,2.245219
9.500000,2.250568
9.550000,2.255792
9.600000,2.260987
9.650000,2.266155
9.700000,2.271296
9.750000,2.276511
9.800000,2.281600
9.850000,2.286663
9.900000,2.291699
9.950000,2.296809
