x,log2(x)
-0.500000,NaN
-0.450000,NaN
-0.400000,NaN
-0.350000,NaN
-0.300000,NaN
-0.250000,NaN
-0.200000,NaN
-0.150000,NaN
-0.100000,NaN
-0.050000,NaN
-0.000000,NaN
0.050000,-4.320673
0.100000,-3.321653
0.150000,-2.736860
0.200000,-2.321959
0.250000,-2.000101
0.300000,-1.737025
0.350000,-1.514729
0.400000,-1.322087
0.450000,-1.152114
0.500000,-1.000000
0.550000,-0.862516
0.600000,-0.736973
0.650000,-0.621458
0.700000,-0.514646
0.750000,-0.415070
0.800000,-0.321901
0.850000,-0.234501
0.900000,-0.152003
0.950000,-0.073957
1.000000,-0.000000
1.050000,0.070354
1.100000,0.137513
1.150000,0.201570
1.200000,0.263060
1.250000,0.321901
1.300000,0.378565
1.350000,0.432978
1.400000,0.485379
1.450000,0.536113
1.500000,0.584981
1.550000,0.632366
1.600000,0.678142
1.650000,0.722492
1.700000,0.765647
1.750000,0.807437
1.800000,0.848036
1.850000,0.887651
1.900000,0.926095
1.950000,0.963528
2.000000,1.000000
2.050000,1.035735
2.100000,1.070461
2.150000,1.104358
2.200000,1.137630
2.250000,1.170014
2.300000,1.201677
2.350000,1.232803
2.400000,1.263142
2.450000,1.292846
2.500000,1.322087
2.550000,1.350623
2.600000,1.378597
2.650000,1.406031
2.700000,1.433102
2.750000,1.459538
2.800000,1.485490
2.850000,1.511122
2.900000,1.536179
2.950000,1.560801
3.000000,1.585002
3.050000,1.608954
3.100000,1.632376
3.150000,1.655417
3.200000,1.678235
3.250000,1.700568
3.300000,1.722555
3.350000,1.744206
3.400000,1.765682
3.450000,1.786707
3.500000,1.807425
3.550000,1.827844
3.600000,1.848129
3.650000,1.867990
3.700000,1.887577
3.750000,1.907043
3.800000,1.926116
3.850000,1.944936
3.900000,1.963509
3.950000,1.981990
4.000000,2.000101
4.050000,2.017983
4.100000,2.035642
4.150000,2.053235
4.200000,2.070475
4.250000,2.087508
4.300000,2.104339
4.350000,2.121125
4.400000,2.137575
4.450000,2.153836
4.500000,2.170056
4.550000,2.185962
4.600000,2.201691
4.650000,2.217247
4.700000,2.232779
4.750000,2.248010
4.800000,2.263078
4.850000,2.277987
4.900000,2.292887
4.950000,2.307498
5.000000,2.321959
5.050000,2.336273
5.100000,2.350591
5.150000,2.364629
5.200000,2.378530
5.250000,2.392295
5.300000,2.406074
5.350000,2.419584
5.400000,2.432966
5.450000,2.446222
5.500000,2.459502
5.550000,2.472522
5.600000,2.485422
5.650000,2.498205
5.700000,2.511021
5.750000,2.523585
5.800000,2.536037
5.850000,2.548381
5.900000,2.560764
5.950000,2.572902
6.000000,2.584937
6.050000,2.596870
6.100000,2.608848
6.150000,2.620589
6.200000,2.632233
6.250000,2.643781
6.300000,2.655381
6.350000,2.666750
6.400000,2.678028
6.450000,2.689216
6.500000,2.700460
6.550000,2.711479
6.600000,2.722413
6.650000,2.733263
6.700000,2.744029
6.750000,2.754864
6.800000,2.765474
6.850000,2.776004
6.900000,2.786457
6.950000,2.796981
7.000000,2.807286
7.050000,2.817516
7.100000,2.827673
7.150000,2.837904
7.200000,2.847921
7.250000,2.857867
7.300000,2.867744
7.350000,2.877697
7.400000,2.887442
7.450000,2.897120
7.500000,2.906732
7.550000,2.916423
7.600000,2.925910
7.650000,2.935333
7.700000,2.944694
7.750000,2.953992
7.800000,2.963379
7.850000,2.972561
7.900000,2.981683
7.950000,2.990746
8.000000,2.999899
8.050000,3.008851
8.100000,3.017747
8.150000,3.026587
8.200000,3.035517
8.250000,3.044252
8.300000,3.052932
8.350000,3.061559
8.400000,3.070133
8.450000,3.078804
8.500000,3.087279
8.550000,3.095704
8.600000,3.104077
8.650000,3.112548
8.700000,3.120828
8.750000,3.129059
8.800000,3.137241
8.850000,3.145522
8.900000,3.153614
8.950000,3.161660
9.000000,3.169660
9.050000,3.177614
9.100000,3.185672
9.150000,3.193541
9.200000,3.201366
9.250000,3.209148
9.300000,3.217033
9.350000,3.224733
9.400000,3.232391
9.450000,3.240007
9.500000,3.247726
9.550000,3.255265
9.600000,3.262762
9.650000,3.270220
9.700000,3.277638
9.750000,3.285164
9.800000,3.292508
9.850000,3.299814
9.900000,3.307081
9.950000,3.314456
