x,tan(x)
-3.000000,0.142546
-2.950000,0.193971
-2.900000,0.246405
-2.850000,0.300148
-2.800000,0.355530
-2.750000,0.412921
-2.700000,0.472730
-2.650000,0.535438
-2.600000,0.601598
-2.550000,0.671866
-2.500000,0.747023
-2.450000,0.828019
-2.400000,0.916015
-2.350000,1.012467
-2.300000,1.119214
-2.250000,1.238628
-2.200000,1.373823
-2.150000,1.528980
-2.100000,1.709842
-2.050000,1.924557
-2.000000,2.185037
-1.950000,2.509471
-1.900000,2.927095
-1.850000,3.488058
-1.800000,4.286260
-1.750000,5.520379
-1.700000,7.696601
-1.650000,12.599268
-1.600000,34.232530
-1.550000,-48.078480
-1.500000,-14.101422
-1.450000,-8.238105
-1.400000,-5.797890
-1.350000,-4.455225
-1.300000,-3.602104
-1.250000,-3.009570
-1.200000,-2.572151
-1.150000,-2.234497
-1.100000,-1.964760
-1.050000,-1.743315
-1.000000,-1.557408
-0.950000,-1.398383
-0.900000,-1.260157
-0.850000,-1.138332
-0.800000,-1.029638
-0.750000,-0.931597
-0.700000,-0.842289
-0.650000,-0.760204
-0.600000,-0.684137
-0.550000,-0.613105
-0.500000,-0.546302
-0.450000,-0.483055
-0.400000,-0.422794
-0.350000,-0.365029
-0.300000,-0.309336
-0.250000,-0.255342
-0.200000,-0.202710
-0.150000,-0.151135
-0.100000,-0.100334
-0.050000,-0.050042
-0.000000,-0.000000
0.050000,0.050042
0.100000,0.100335
0.150000,0.151135
0.200000,0.202710
0.250000,0.255342
0.300000,0.309336
0.350000,0.365029
0.400000,0.422794
0.450000,0.483056
0.500000,0.546304
0.550000,0.613107
0.600000,0.684137
0.650000,0.760204
0.700000,0.842288
0.750000,0.931596
0.800000,1.029638
0.850000,1.138331
0.900000,1.260155
0.950000,1.398381
1.000000,1.557405
1.050000,1.743310
1.100000,1.964752
1.150000,2.234484
1.200000,2.572129
1.250000,3.009572
1.300000,3.602106
1.350000,4.455229
1.400000,5.797900
1.450000,8.238132
1.500000,14.101524
1.550000,48.080077
1.600000,-34.231471
1.650000,-12.599076
1.700000,-7.696510
1.750000,-5.520317
1.800000,-4.286212
1.850000,-3.488017
1.900000,-2.927058
1.950000,-2.509474
2.000000,-2.185038
2.050000,-1.924558
2.100000,-1.709843
2.150000,-1.528981
2.200000,-1.373825
2.250000,-1.238630
2.300000,-1.119216
2.350000,-1.012469
2.400000,-0.916017
2.450000,-0.828020
2.500000,-0.747026
2.550000,-0.671869
2.600000,-0.601601
2.650000,-0.535437
2.700000,-0.472730
2.750000,-0.412921
2.800000,-0.355530
2.850000,-0.300148
2.900000,-0.246405
2.950000,-0.193971
3.000000,-0.142546
